Country Name,Country Code,Series Name,Series Code,1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Indonesia,IDN,"Population, total",SP.POP.TOTL,124709058,127945196,131213215,134521025,137861540,141250964,144693087,148177096,151686337,155228658,158790611,162331962,165791694,169135273,172421390,175694647,178949174,182159874,185361228,188558416,191737287,194928533,198140162,201373791,204628007,207855486,210996910,214072421,217112437,220115092,223080121,225938595,228805144,231797427,234858289,237936543,240981299,244016173,247099697,250222695,253275918,256229761,259091970,261850182,264498852,267066843,269582878,271857970,273753191,275501339,277534122
Indonesia,IDN,Population growth (annual %),SP.POP.GROW,2.60351109549222,2.56185276046071,2.52215795384658,2.489691100482,2.45293416202066,2.42883466339716,2.4076663007879,2.37932952200941,2.34066633687342,2.30844263861505,2.26871796150833,2.20569643602313,2.10887582043187,1.9966681756408,1.92425957581405,1.88061055652599,1.83542933625866,1.77829086687315,1.74217749925866,1.71013530352426,1.67182800963408,1.65068557714402,1.63416751970142,1.61881686064568,1.60308930027037,1.56493286270644,1.50004294345816,1.44708848408903,1.4100988547982,1.37351928060869,1.33804389134874,1.27322648868512,1.26074829560286,1.29930889873663,1.31184759614566,1.30217053507895,1.27153208994292,1.25151729140412,1.25573808861315,1.25594145835811,1.21281780987831,1.15950664180271,1.1108549322781,1.05894205868913,1.00643952446092,0.966206435866139,0.937689273635294,0.840389268128048,0.694717688319757,0.636555115146439,0.735139895418266
Indonesia,IDN,Surface area (sq. km),AG.SRF.TOTL.K2,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910931,1913580,1913580,1916820,1916862.2,1916906.77,1916906.77,1916906.77,..,..
Indonesia,IDN,Population density (people per sq. km of land area),EN.POP.DNST,68.8403197226715,70.626691764602,72.430662353649,74.2565978681475,76.1005867838394,77.9715738282263,79.8716511092588,81.7948497711929,83.7319766832085,85.687363999183,87.65358832394,89.608440192761,91.5182377716566,93.363918037945,95.1778788564615,96.9847408601379,98.7812637656839,100.553593844014,102.320764861419,104.0856362161,105.840396451697,107.601987778557,109.374830671738,111.159817727165,112.956168958417,114.737761168489,116.471850383921,114.018777439802,115.637944010154,117.23721144766,118.816438608611,120.338912682109,121.865687644173,123.459430770075,125.08970029065,126.729233099638,128.350924278263,129.967352127994,131.609691832679,133.273056091576,134.899256944936,136.47252624341,137.996989644313,139.466062394042,140.876791127014,142.244548790185,143.584633764026,144.796388212316,144.647380401484,..,..
Indonesia,IDN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.1,18.4,18.2,17.4,16.7,16,17.8,16.6,15.4,14.1,..,12.5,12,11.4,11.3,11.2,10.9,10.6,9.8,9.4,9.8,10.1,9.5,9.4
Indonesia,IDN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,74.3,..,..,74.6,..,..,61.8,..,..,61.2,..,..,49.3,..,68.3,44,43.8,40.3,23.5,22.8,24.2,20.1,26.2,21.6,19.2,18.8,16.5,14.1,10.6,10.8,9.7,8.5,6.7,4.3,4.4,3.4,2.8,2.9,2.2,1.8
Indonesia,IDN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,13944893034.2936,20050284174.8125,28237829116.3833,35657673274.0782,41704721702.1305,49942266265.8378,56910623752.8339,69673191430.5667,80457776364.7436,86906729264.5785,83392792093.1914,84554292399.4578,83056774386.9164,86661771790.7084,87337571614.4244,90024925882.4031,93731587172.1727,102001767831.81,111801983654.027,124314461183.817,142010500379.615,165279611301.014,194601681203.751,218210284397.626,222541603690.972,135080275195.629,119650744634.916,122450409460.115,154214850973.497,172499137483.851,198234185990.446,241393121393.241,276758984898.507,315565146231.552,371908892976.357,457090280520.193,512965798111.108,612253814945.064,737717017026.609,889278531385.973,939754625188.483,922995729830.421,886547498555.791,890493673464.311,934207963774.755,1028158608362.43,1096634205214.4,1059188261558.45,1142865991927.34,1260912101887.75,1352588341766.2
Indonesia,IDN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,110,160,220,270,300,350,390,470,530,560,530,520,500,510,510,510,520,560,600,660,740,850,980,1080,1090,650,570,570,710,780,890,1070,1210,1360,1580,1920,2130,2510,2990,3550,3710,3600,3420,3400,3530,3850,4070,3900,4170,4580,4870
Indonesia,IDN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,531785015385.5,587785986821.305,640259961669.031,705222326560.353,783649050145.252,863537924791.296,950644440803.852,1009945090845.85,862422340704.278,863067667539.039,935920239986.011,1022914407390.4,1093624786148.82,1158262502353.87,1239576234080.96,1347290623867.18,1474565524635.68,1613100438542.74,1753214877820.6,1846711200166.62,2002715927512.05,2167767372901.2,2340312301657.64,2448797153733.53,2518156676081.36,2538121217574.22,2628825068930.35,2766768816101.29,2978437370027.98,3166892074762.32,3134895515977.91,3434771286486.53,3870444352580.73,4221516606595.63
Indonesia,IDN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2920,3170,3400,3680,4020,4360,4720,4940,4150,4090,4370,4710,4970,5190,5490,5890,6360,6870,7370,7660,8210,8770,9350,9670,9830,9800,10040,10460,11150,11750,11530,12550,14050,15210
